Product SKU (FILL IN),Video ID,Video Title,Video URL,Published Date,Duration,Category (FILL IN),Notes
"","8plcoZSrLF4","Product Highlights for the 2025 AHR Expo","https://www.youtube.com/watch?v=8plcoZSrLF4","2025-02-05","PT1M51S","",""
"","yznb3bVaFDk","AHR 2025 - Meet BAPI's Booth Team","https://www.youtube.com/watch?v=yznb3bVaFDk","2025-01-29","PT27S","",""
"","ly4qcWaHHmg","Visit BAPI at the 2025 AHR Expo!","https://www.youtube.com/watch?v=ly4qcWaHHmg","2025-01-17","PT1M23S","",""
"","mSMI_VoPkNU","Backplanes for ETA","https://www.youtube.com/watch?v=mSMI_VoPkNU","2024-09-23","PT57S","",""
"","xmEC7_yvN0A","3324VC Voltage Converter","https://www.youtube.com/watch?v=xmEC7_yvN0A","2024-09-19","PT44S","",""
"","1JxA6vWkTSw","Fixed Range Pressure Sensor","https://www.youtube.com/watch?v=1JxA6vWkTSw","2024-09-18","PT36S","",""
"","I-5nAcxDDls","Pierceable Knockout Plugs","https://www.youtube.com/watch?v=I-5nAcxDDls","2024-09-17","PT35S","",""
"","FER_CsSUkBo","Digital CO & NO2 Sensor","https://www.youtube.com/watch?v=FER_CsSUkBo","2024-09-13","PT29S","",""
"","LTWOaKa1Hds","RPTR - RS-485 Network Repeater","https://www.youtube.com/watch?v=LTWOaKa1Hds","2024-08-23","PT57S","",""
"","UE0HLV9xBXA","SOX - RS-485 Fiber Optic Transceiver for Single Mode Cable","https://www.youtube.com/watch?v=UE0HLV9xBXA","2024-08-23","PT57S","",""
"","Yv0IM-0m5C0","FOX - RS-485 Fiber Optic Transceiver for Multi-Mode Cable","https://www.youtube.com/watch?v=Yv0IM-0m5C0","2024-08-23","PT1M","",""
"","mWh2_O3qL58","R49 - Relay Interface, 9 Output","https://www.youtube.com/watch?v=mWh2_O3qL58","2024-08-19","PT49S","",""
"","DJYi9ljKa7s","MXV - Dry Switch Monitor, Voltage Output","https://www.youtube.com/watch?v=DJYi9ljKa7s","2024-08-15","PT37S","",""
"","X6LdBTqJIBM","DS6R - Dry Switch Monitor (Resistive Output)","https://www.youtube.com/watch?v=X6LdBTqJIBM","2024-08-15","PT37S","",""
"","ZOUAfEMSVBs","DS8 - Discrete Summary Module (8 Input)","https://www.youtube.com/watch?v=ZOUAfEMSVBs","2024-08-15","PT49S","",""
"","-toMnUYNOBc","EA2 - Modulating Damper Actuator Interface","https://www.youtube.com/watch?v=-toMnUYNOBc","2024-08-14","PT53S","",""
"","9IVL4XEhyuA","EA1 - Two Position Damper Actuator Interface","https://www.youtube.com/watch?v=9IVL4XEhyuA","2024-08-14","PT56S","",""
"","Q2P29YwXX-c","BAPI Adaptor Plates for Room Sensors","https://www.youtube.com/watch?v=Q2P29YwXX-c","2024-08-01","PT36S","",""
"","B7zkMneI6Bo","BAPI Flexible Probe Bracket","https://www.youtube.com/watch?v=B7zkMneI6Bo","2024-07-31","PT28S","",""
"","vUi0OPTmRP0","BAPI Light Level Sensor","https://www.youtube.com/watch?v=vUi0OPTmRP0","2024-07-17","PT25S","",""
"","1d4134GnIbQ","BAPI Door Monitor Alarm","https://www.youtube.com/watch?v=1d4134GnIbQ","2024-07-15","PT39S","",""
"","PYJP61_quec","BAPI PS17RF, PS18RF & PS19RF Power Supplies","https://www.youtube.com/watch?v=PYJP61_quec","2024-06-28","PT29S","",""
"","bFgRQeAs8Vk","BAPI Refrigerant Leak Detectors","https://www.youtube.com/watch?v=bFgRQeAs8Vk","2024-06-26","PT30S","",""
"","vF8j7pbZAV0","BAPI Pressure Switches","https://www.youtube.com/watch?v=vF8j7pbZAV0","2024-06-25","PT41S","",""
"","sHtZWZTjEvk","BAPI Remote Surface Sensors","https://www.youtube.com/watch?v=sHtZWZTjEvk","2024-06-21","PT43S","",""
