Product SKU (FILL IN),Video ID,Video Title,Video URL,Published Date,Duration,Category (FILL IN),Notes
,8plcoZSrLF4,Product Highlights for the 2025 AHR Expo,https://www.youtube.com/watch?v=8plcoZSrLF4,2/5/2025,PT1M51S,,
,yznb3bVaFDk,AHR 2025 - Meet BAPI's Booth Team,https://www.youtube.com/watch?v=yznb3bVaFDk,1/29/2025,PT27S,,
,ly4qcWaHHmg,Visit BAPI at the 2025 AHR Expo!,https://www.youtube.com/watch?v=ly4qcWaHHmg,1/17/2025,PT1M23S,,
50105,mSMI_VoPkNU,Backplanes for ETA,https://www.youtube.com/watch?v=mSMI_VoPkNU,9/23/2024,PT57S,Product Demo,
BA/3324VC,xmEC7_yvN0A,3324VC Voltage Converter,https://www.youtube.com/watch?v=xmEC7_yvN0A,9/19/2024,PT44S,Product Demo,
137952,1JxA6vWkTSw,Fixed Range Pressure Sensor,https://www.youtube.com/watch?v=1JxA6vWkTSw,9/18/2024,PT36S,Product Demo,
BA/PKP-100,I-5nAcxDDls,Pierceable Knockout Plugs,https://www.youtube.com/watch?v=I-5nAcxDDls,9/17/2024,PT35S,Product Demo,
418359,FER_CsSUkBo,Digital CO & NO2 Sensor,https://www.youtube.com/watch?v=FER_CsSUkBo,9/13/2024,PT29S,Product Demo,
50127,LTWOaKa1Hds,RPTR - RS-485 Network Repeater,https://www.youtube.com/watch?v=LTWOaKa1Hds,8/23/2024,PT57S,Product Demo,
BA/SOX,UE0HLV9xBXA,SOX - RS-485 Fiber Optic Transceiver for Single Mode Cable,https://www.youtube.com/watch?v=UE0HLV9xBXA,8/23/2024,PT57S,Product Demo,
50128,Yv0IM-0m5C0,FOX - RS-485 Fiber Optic Transceiver for Multi-Mode Cable,https://www.youtube.com/watch?v=Yv0IM-0m5C0,8/23/2024,PT1M,Product Demo,
BA/R49,mWh2_O3qL58,"R49 - Relay Interface, 9 Output",https://www.youtube.com/watch?v=mWh2_O3qL58,8/19/2024,PT49S,Product Demo,
418241,DJYi9ljKa7s,"MXV - Dry Switch Monitor, Voltage Output",https://www.youtube.com/watch?v=DJYi9ljKa7s,8/15/2024,PT37S,Product Demo,
50101,X6LdBTqJIBM,DS6R - Dry Switch Monitor (Resistive Output),https://www.youtube.com/watch?v=X6LdBTqJIBM,8/15/2024,PT37S,Product Demo,
BA/DS8,ZOUAfEMSVBs,DS8 - Discrete Summary Module (8 Input),https://www.youtube.com/watch?v=ZOUAfEMSVBs,8/15/2024,PT49S,Product Demo,
BA/EA2,toMnUYNOBc,EA2 - Modulating Damper Actuator Interface,https://www.youtube.com/watch?v=-toMnUYNOBc,8/14/2024,PT53S,Product Demo,
BA/EA1,9IVL4XEhyuA,EA1 - Two Position Damper Actuator Interface,https://www.youtube.com/watch?v=9IVL4XEhyuA,8/14/2024,PT56S,Product Demo,
135432,Q2P29YwXX-c,BAPI Adaptor Plates for Room Sensors,https://www.youtube.com/watch?v=Q2P29YwXX-c,8/1/2024,PT36S,Product Demo,
BA/FPB-50,B7zkMneI6Bo,BAPI Flexible Probe Bracket,https://www.youtube.com/watch?v=B7zkMneI6Bo,7/31/2024,PT28S,Product Demo,
BA/LLV,vUi0OPTmRP0,BAPI Light Level Sensor,https://www.youtube.com/watch?v=vUi0OPTmRP0,7/17/2024,PT25S,Product Demo,
BA/DMA,1d4134GnIbQ,BAPI Door Monitor Alarm,https://www.youtube.com/watch?v=1d4134GnIbQ,7/15/2024,PT39S,Product Demo,
135409,PYJP61_quec,"BAPI PS17RF, PS18RF & PS19RF Power Supplies",https://www.youtube.com/watch?v=PYJP61_quec,6/28/2024,PT29S,Product Demo,
50156,bFgRQeAs8Vk,BAPI Refrigerant Leak Detectors,https://www.youtube.com/watch?v=bFgRQeAs8Vk,6/26/2024,PT30S,Product Demo,
139252,vF8j7pbZAV0,BAPI Pressure Switches,https://www.youtube.com/watch?v=vF8j7pbZAV0,6/25/2024,PT41S,Product Demo,
160078,sHtZWZTjEvk,BAPI Remote Surface Sensors,https://www.youtube.com/watch?v=sHtZWZTjEvk,6/21/2024,PT43S,Product Demo,
136548,5ruRcHD4V2Q,BAPI Submersible Duct Transmitters,https://www.youtube.com/watch?v=5ruRcHD4V2Q,6/20/2024,PT34S,Product Demo,
136511,mv85fyNFDFw,BAPI Submersible Duct Sensors,https://www.youtube.com/watch?v=mv85fyNFDFw,6/20/2024,PT32S,Product Demo,
401403,WwDPtDqiXIA,BAPI Submersible Averaging Transmitters,https://www.youtube.com/watch?v=WwDPtDqiXIA,6/19/2024,PT31S,Product Demo,
401330,w7H1pOE2ISE,BAPI Submersible Averaging Sensors,https://www.youtube.com/watch?v=w7H1pOE2ISE,6/19/2024,PT33S,Product Demo,
136462,apYV5rZ5yeQ,BAPI Rigid Averaging Transmitters,https://www.youtube.com/watch?v=apYV5rZ5yeQ,6/19/2024,PT33S,Product Demo,
136388,ZUpl2HUyOhQ,BAPI Duct Rigid Averaging Sensors,https://www.youtube.com/watch?v=ZUpl2HUyOhQ,6/17/2024,PT31S,Product Demo,
136996,zSGQd5A2VyQ,BAPI Remote Probe Transmitters,https://www.youtube.com/watch?v=zSGQd5A2VyQ,6/17/2024,PT31S,Product Demo,
136959,lig3i6v6nbo,BAPI Remote Probe Sensors,https://www.youtube.com/watch?v=lig3i6v6nbo,6/17/2024,PT37S,Product Demo,
137285,ZzPyukGpYig,BAPI Thermobuffer Transmitters,https://www.youtube.com/watch?v=ZzPyukGpYig,6/14/2024,PT37S,Product Demo,
137113,BXyvFCjPAwI,BAPI Concave Remote Transmitter,https://www.youtube.com/watch?v=BXyvFCjPAwI,6/12/2024,PT35S,Product Demo,
137051,g6UOu8zYNKE,BAPI Concave Remote Probes,https://www.youtube.com/watch?v=g6UOu8zYNKE,6/12/2024,PT38S,Product Demo,
136906,xPuH_NgKOV8,BAPI Strap Temperature Transmitters,https://www.youtube.com/watch?v=xPuH_NgKOV8,6/6/2024,PT38S,Product Demo,
136803,JJ_eEjwe_JI,BAPI Immersion Transmitters,https://www.youtube.com/watch?v=JJ_eEjwe_JI,6/5/2024,PT31S,Product Demo,
136462,61nulHuxpCk,BAPI Duct Averaging Transmitters,https://www.youtube.com/watch?v=61nulHuxpCk,6/5/2024,PT31S,Product Demo,
136296,eMPhjXq70-4,BAPI Duct Temperature Transmitters,https://www.youtube.com/watch?v=eMPhjXq70-4,6/4/2024,PT30S,Product Demo,
,aMj9kNh3k5Y,BAPI Wireless HVAC Sensors,https://www.youtube.com/watch?v=aMj9kNh3k5Y,5/29/2024,PT49S,Product Demo,
143762,KirI2n6F4Pc,BAPI Pressure Pickup Ports,https://www.youtube.com/watch?v=KirI2n6F4Pc,5/17/2024,PT36S,Product Demo,
137612,Oz1KR9ZKD_A,BAPI Wall Plate Sensors,https://www.youtube.com/watch?v=Oz1KR9ZKD_A,5/16/2024,PT33S,Product Demo,
137236,h3Z-8ukUd9c,BAPI Thermobuffer Sensors,https://www.youtube.com/watch?v=h3Z-8ukUd9c,5/16/2024,PT33S,Product Demo,
402797,DTDm6EQcGOY,BAPI Particulate Matter Sensors,https://www.youtube.com/watch?v=DTDm6EQcGOY,5/14/2024,PT33S,Product Demo,
,lSisbSZSY94,BAPI Programmable NO2 Sensors,https://www.youtube.com/watch?v=lSisbSZSY94,5/14/2024,PT33S,Product Demo,
135412,zb_eY5M4x2Q,BAPI-Guard Thermostat Protector,https://www.youtube.com/watch?v=zb_eY5M4x2Q,5/13/2024,PT30S,Product Demo,
135373,I8fRWyxl2As,VC350A-EZ Voltage Converter,https://www.youtube.com/watch?v=I8fRWyxl2As,5/10/2024,PT31S,Product Demo,
420600,Dtr7NTkw4BA,BAPI Water Leak Detectors,https://www.youtube.com/watch?v=Dtr7NTkw4BA,5/8/2024,PT34S,Product Demo,
138079,ozhndvjDQtQ,BAPI Carbon Monoxide (CO) Sensors,https://www.youtube.com/watch?v=ozhndvjDQtQ,5/7/2024,PT36S,Product Demo,
,5hKIUVb_SHQ,BAPI VOC Duct and Rough Service Sensors,https://www.youtube.com/watch?v=5hKIUVb_SHQ,5/6/2024,PT28S,Product Demo,
,ieVGoeOmrg0,BAPI CO2 Duct and Rough Service Sensors,https://www.youtube.com/watch?v=ieVGoeOmrg0,5/6/2024,PT28S,Product Demo,
137636,T4CpwAxjsvI,BAPI Duct Humidity Sensors,https://www.youtube.com/watch?v=T4CpwAxjsvI,5/3/2024,PT29S,Product Demo,
137652,T4CpwAxjsvI,BAPI Duct Humidity Sensors,https://www.youtube.com/watch?v=T4CpwAxjsvI,5/3/2024,PT29S,Product Demo,
BA/WSK,Ea7zQ5XaiZw,BAPI Weather Shade,https://www.youtube.com/watch?v=Ea7zQ5XaiZw,5/2/2024,PT29S,Product Demo,
,NuuReKWn2ak,BAPI Decora Sensor,https://www.youtube.com/watch?v=NuuReKWn2ak,5/1/2024,PT28S,Product Demo,
,K_zzUrRoKZg,BAPI CO2 Quantum Sensors,https://www.youtube.com/watch?v=K_zzUrRoKZg,4/30/2024,PT41S,Product Demo,
,qkjD2IebyQE,BAPI VOC Quantum Sensors,https://www.youtube.com/watch?v=qkjD2IebyQE,4/30/2024,PT38S,Product Demo,
,09iowt2yVME,BAPI Blu-Test Test Instruments,https://www.youtube.com/watch?v=09iowt2yVME,4/26/2024,PT57S,Product Demo,
137504,FN3w99eD44U,BAPI Button Sensor,https://www.youtube.com/watch?v=FN3w99eD44U,4/25/2024,PT31S,Product Demo,
136889,twQS7fOK2SQ,BAPI Strap Sensors,https://www.youtube.com/watch?v=twQS7fOK2SQ,4/24/2024,PT36S,Product Demo,
,49chgGDlFwI,BAPI Pressure Sensors,https://www.youtube.com/watch?v=49chgGDlFwI,4/23/2024,PT33S,Product Demo,
,ku2AMjsupuE,"BAPI-Stat ""Quantum Prime"" Sensor",https://www.youtube.com/watch?v=ku2AMjsupuE,4/18/2024,PT33S,Product Demo,
,ammSvr8KVpw,"BAPI-Stat ""Quantum"" Sensors",https://www.youtube.com/watch?v=ammSvr8KVpw,4/17/2024,PT32S,Product Demo,
,zOs8G16YQ3A,BAPI Immersion Sensors,https://www.youtube.com/watch?v=zOs8G16YQ3A,4/15/2024,PT31S,Product Demo,
,1NKVr93KecI,BAPI Duct Averaging Sensors,https://www.youtube.com/watch?v=1NKVr93KecI,4/15/2024,PT30S,Product Demo,
,px-f682fNJ0,BAPI Outside Air Sensors,https://www.youtube.com/watch?v=px-f682fNJ0,4/15/2024,PT30S,Product Demo,
,30474DlBkWM,BAPI Duct Temperature Sensors,https://www.youtube.com/watch?v=30474DlBkWM,4/15/2024,PT30S,Product Demo,
,rbPPCWY23Pk,2024 Upcoming Tradeshows,https://www.youtube.com/watch?v=rbPPCWY23Pk,2/23/2024,PT46S,,
,Sz6bpgkQ-Us,Celebrating Manufacturing Month: Elevating Manufacturing with Automation,https://www.youtube.com/watch?v=Sz6bpgkQ-Us,10/30/2023,PT51S,,
,saHP90u9q4E,Celebrating Manufacturing Month: People Building Sensors,https://www.youtube.com/watch?v=saHP90u9q4E,10/23/2023,PT47S,,
,RV04pXS_H8Q,BAPI's 30th Anniversary Celebration,https://www.youtube.com/watch?v=RV04pXS_H8Q,10/19/2023,PT2M53S,,
,Q603MLgaHn4,30th Anniversary: HQ Locations Over The Years,https://www.youtube.com/watch?v=Q603MLgaHn4,8/15/2023,PT1M46S,,
,DacwE8oepgY,30 Years of  Innovation,https://www.youtube.com/watch?v=DacwE8oepgY,7/11/2023,PT2M11S,,
,D2m-TCk1Q_A,"""Changing the way you think about sensors...""",https://www.youtube.com/watch?v=D2m-TCk1Q_A,12/22/2020,PT1M36S,,
,1gpR7-12PdQ,Eagle Cave,https://www.youtube.com/watch?v=1gpR7-12PdQ,12/4/2019,PT2M52S,,
,FFA_BNTO0Yc,Stump Dodger,https://www.youtube.com/watch?v=FFA_BNTO0Yc,12/4/2019,PT3M6S,,
,Kh25_0jk3E4,Bald Eagles,https://www.youtube.com/watch?v=Kh25_0jk3E4,12/4/2019,PT2M33S,,
,KyC2vO1ih0k,Maple Sugaring,https://www.youtube.com/watch?v=KyC2vO1ih0k,12/4/2019,PT3M16S,,
,WVIUP9Idlrw,Wild Turkey,https://www.youtube.com/watch?v=WVIUP9Idlrw,12/2/2019,PT2M52S,,
,_dQhJnq_dnw,Ice Fishing Day,https://www.youtube.com/watch?v=_dQhJnq_dnw,12/2/2019,PT2M36S,,
,TPoKOpPzJsA,Snocross & Ski Jump,https://www.youtube.com/watch?v=TPoKOpPzJsA,12/2/2019,PT3M5S,,
,Dg34TcLqTKk,Tainter Creek Days,https://www.youtube.com/watch?v=Dg34TcLqTKk,12/2/2019,PT2M52S,,
,zrV_5f4jvPM,The Kickapoo,https://www.youtube.com/watch?v=zrV_5f4jvPM,12/2/2019,PT2M25S,,
,aK7byMXnHFo,Fall Colors,https://www.youtube.com/watch?v=aK7byMXnHFo,12/2/2019,PT1M44S,,
,shFpIQJRHoM,Apple Festival,https://www.youtube.com/watch?v=shFpIQJRHoM,12/2/2019,PT1M55S,,
,gVYnHdSdEjc,Apple Orchards,https://www.youtube.com/watch?v=gVYnHdSdEjc,12/2/2019,PT2M18S,,
,y7EfSNnB5F0,BAPI product showcase Central Europe 25th timeline,https://www.youtube.com/watch?v=y7EfSNnB5F0,2/25/2019,PT5M51S,,
,2I0lsSYPnEA,Winter Fest at KVR,https://www.youtube.com/watch?v=2I0lsSYPnEA,12/4/2018,PT1M3S,,
,TN08kv5ok7g,Driftless Art Fest,https://www.youtube.com/watch?v=TN08kv5ok7g,12/4/2018,PT1M5S,,
,tMvuYd4xyPQ,Ice Caves,https://www.youtube.com/watch?v=tMvuYd4xyPQ,12/4/2018,PT1M5S,,
,HiNSASgp_gM,Dam Challenge Triathlon,https://www.youtube.com/watch?v=HiNSASgp_gM,12/4/2018,PT1M41S,,
,WhOO9DWjpJU,Ribbon Clouds,https://www.youtube.com/watch?v=WhOO9DWjpJU,12/4/2018,PT1M4S,,
,J6FKVVCMb0I,Fire Dancing,https://www.youtube.com/watch?v=J6FKVVCMb0I,12/4/2018,PT2M17S,,
,U9UvMxIjX3A,Utica Church,https://www.youtube.com/watch?v=U9UvMxIjX3A,12/4/2018,PT1M13S,,
,RZIS1JfBZcI,Unique Birds of the Kickapoo,https://www.youtube.com/watch?v=RZIS1JfBZcI,12/4/2018,PT1M17S,,
,J0Lvm6WHW3Y,Wild West Days,https://www.youtube.com/watch?v=J0Lvm6WHW3Y,12/4/2018,PT1M17S,,
,q0UCGmdHUOo,Harvest Fest,https://www.youtube.com/watch?v=q0UCGmdHUOo,12/4/2018,PT2M15S,,
,t4m9OJai8VE,Red and Gold,https://www.youtube.com/watch?v=t4m9OJai8VE,12/4/2018,PT1M16S,,
,sKMYaQq6ox0,The Changing Cornfields,https://www.youtube.com/watch?v=sKMYaQq6ox0,12/4/2018,PT1M25S,,
,R6qRVO0_Kno,Gays Mills Applefest,https://www.youtube.com/watch?v=R6qRVO0_Kno,12/7/2017,PT56S,,
,Q3qDh6kHhgw,"Red, Orange & Gold",https://www.youtube.com/watch?v=Q3qDh6kHhgw,12/7/2017,PT1M4S,,
,9wa88tJBnzM,Corn Harvest,https://www.youtube.com/watch?v=9wa88tJBnzM,12/7/2017,PT58S,,
,4A2TnbzKe94,Wisconsin County Fairs,https://www.youtube.com/watch?v=4A2TnbzKe94,12/7/2017,PT1M,,
,XvGzsZ1oaLs,Local Farmers Markets,https://www.youtube.com/watch?v=XvGzsZ1oaLs,12/7/2017,PT59S,,
,klTn6vl3K2g,The Kickapoo River,https://www.youtube.com/watch?v=klTn6vl3K2g,12/7/2017,PT1M4S,,
,UjZGOJydQ8Y,Family Dairy Farming,https://www.youtube.com/watch?v=UjZGOJydQ8Y,12/7/2017,PT1M4S,,
,fCJfrQkYUUM,Local Mountain Biking,https://www.youtube.com/watch?v=fCJfrQkYUUM,12/7/2017,PT1M4S,,
,dC72JYDrcC4,Sidie Hollow Lake,https://www.youtube.com/watch?v=dC72JYDrcC4,12/7/2017,PT1M4S,,
,cqtnwxd0Frs,Area Fly Fishing,https://www.youtube.com/watch?v=cqtnwxd0Frs,12/7/2017,PT1M4S,,
,QKjD6MGmsgw,Mississippi Lock & Dam,https://www.youtube.com/watch?v=QKjD6MGmsgw,12/7/2017,PT1M3S,,
,kc70qWpi2eM,The Apple Harvest,https://www.youtube.com/watch?v=kc70qWpi2eM,12/6/2017,PT1M5S,,
,3oCwTItSCi4,BAPI Volatile Organic Compound Sensors - The Benefits of VOC over CO2 Ventilation,https://www.youtube.com/watch?v=3oCwTItSCi4,6/17/2016,PT1M16S,,
,SLcUALXZcLY,CO2 Sensor - How Barometric Pressure Compensation Increases the Accuracy of CO2 Sensors,https://www.youtube.com/watch?v=SLcUALXZcLY,8/27/2013,PT6M24S,,
,GuaMW7PIObo,VOC Sensor - In-depth comparison of a VOC sensor vs a CO2 Sensor for Demand Controlled Ventilation,https://www.youtube.com/watch?v=GuaMW7PIObo,7/11/2011,PT10M55S,,
,GzmJewFEqPw,The Story of BAPI,https://www.youtube.com/watch?v=GzmJewFEqPw,5/3/2011,PT2M42S,,
,UBm6k7xAdXU,Wireless System - A Glimpse at Some Locations Using BAPI's System,https://www.youtube.com/watch?v=UBm6k7xAdXU,9/1/2010,PT3M37S,,
,GF5zs4u3AOk,BAPI-Guard - Thermostat Protector Survives Cricket Bat Assault,https://www.youtube.com/watch?v=GF5zs4u3AOk,8/2/2010,PT1M10S,,
,QRvt9CamkQE,Clean-Cut Tool for BAPI-Boxes - Overview,https://www.youtube.com/watch?v=QRvt9CamkQE,2/24/2010,PT1M5S,,
,amXX_WhfOsY,Wireless System - Cornell U Features BAPI System Solar Decathlon SiloHouse,https://www.youtube.com/watch?v=amXX_WhfOsY,1/15/2010,PT5M,,
,FkQHeol6NQs,Adaptor Plates for Retrofits - Overview,https://www.youtube.com/watch?v=FkQHeol6NQs,9/10/2009,PT54S,,
,ZK6-wPpU6GM,Decora Style Room Sensor - Overview,https://www.youtube.com/watch?v=ZK6-wPpU6GM,9/9/2009,PT1M23S,,
,7WCJmLKWFOw,BAPI-Box and BAPI-Box 2 Polycarbonate Enclosures - Overview,https://www.youtube.com/watch?v=7WCJmLKWFOw,7/17/2009,PT1M9S,,
,6tWHd6p6rzQ,Flexible Probe Brackets for Averaging Sensors - Overview,https://www.youtube.com/watch?v=6tWHd6p6rzQ,7/8/2009,PT55S,,
,nyIva9cVHGA,BAPI-Guard - Thermostat Protector Survives Baseball Bat Assault,https://www.youtube.com/watch?v=nyIva9cVHGA,6/3/2009,PT1M11S,,
